commit,version,date,bench,metric,unit,value,ci_low,ci_high,allocs,allocs_ci_low,allocs_ci_high,rustc,machine
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,snapshot_get_nodes_with_property/1000,median,ns,82.58033295446026,82.55738895154272,82.60764377349496,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,snapshot_get_nodes_with_property/100,mean,ns,79.3354437108321,79.18582747884419,79.57233017804585,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,snapshot_get_nodes_with_property/100,median,ns,79.13320989608087,79.10033107235142,79.18297803617571,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,snapshot_get_neighbors/10000,mean,ns,2.48906102584381,2.4281333613052927,2.549785006590279,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,snapshot_get_neighbors/10000,median,ns,2.4792878200177313,2.1792304287561617,2.7950899311254562,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,snapshot_get_neighbors/100000,mean,ns,2.1786229979142093,2.1765798275245447,2.1813079962539312,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,snapshot_get_neighbors/100000,median,ns,2.1754615598302935,2.174736295548786,2.1763826001513467,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,snapshot_get_neighbors/1000,mean,ns,2.259362333585855,2.2208582545320077,2.3021862211435855,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,snapshot_get_neighbors/1000,median,ns,2.175362385579318,2.17454533277753,2.1763188997345813,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,snapshot_get_neighbors/100,mean,ns,2.512788408865704,2.451731175813649,2.5737528034140467,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,snapshot_get_neighbors/100,median,ns,2.7948731361218107,2.1807939890914367,2.79571058381451,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,snapshot_get_property/10000,mean,ns,16.613521715508924,16.584945175771608,16.657159718575965,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,snapshot_get_property/10000,median,ns,16.586703163336033,16.573509581737156,16.597266159496748,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,snapshot_get_property/100000,mean,ns,16.699846004024277,16.684224941620972,16.719733493724483,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
