commit,version,date,bench,metric,unit,value,ci_low,ci_high,allocs,allocs_ci_low,allocs_ci_high,rustc,machine
832fc5da7962,,2025-11-19T18:18:25.933101Z,bulk_load_complete_graph/10000,mean,ns,8369464.651428569,8333565.647214286,8405864.496464288,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07) (Homebrew),local
832fc5da7962,,2025-11-19T18:18:25.933101Z,bulk_load_complete_graph/10000,median,ns,8360580.357142857,8311675.642857144,8405577.42857143,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07) (Homebrew),local
832fc5da7962,,2025-11-19T18:18:25.933101Z,bulk_load_complete_graph/1000,mean,ns,4789428.082999999,4737369.0,4841885.624875,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07) (Homebrew),local
832fc5da7962,,2025-11-19T18:18:25.933101Z,bulk_load_complete_graph/1000,median,ns,4813583.35,4743425.0,4843941.6,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07) (Homebrew),local
832fc5da7962,,2025-11-19T18:18:25.933101Z,snapshot_get_neighbors/10000,mean,ns,1.6444862829792788,1.6181972105644726,1.6718743482597798,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07) (Homebrew),local
832fc5da7962,,2025-11-19T18:18:25.933101Z,snapshot_get_neighbors/10000,median,ns,1.6071651935605766,1.5803215919162845,1.6136676854009468,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07) (Homebrew),local
832fc5da7962,,2025-11-19T18:18:25.933101Z,snapshot_get_neighbors/100000,mean,ns,1.887838341815133,1.8221292078494764,1.965304476248967,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07) (Homebrew),local
832fc5da7962,,2025-11-19T18:18:25.933101Z,snapshot_get_neighbors/100000,median,ns,1.7973743671383917,1.765401588277316,1.8013795972351838,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07) (Homebrew),local
832fc5da7962,,2025-11-19T18:18:25.933101Z,snapshot_get_neighbors/100,mean,ns,1.924065168292996,1.81321077120265,2.036966485403471,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07) (Homebrew),local
832fc5da7962,,2025-11-19T18:18:25.933101Z,snapshot_get_neighbors/100,median,ns,1.5291583900822423,1.4702070791023223,1.8939353505068044,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07) (Homebrew),local
832fc5da7962,,2025-11-19T18:18:25.933101Z,snapshot_get_neighbors/1000,mean,ns,1.598471263436052,1.5869840014303924,1.6114348828669331,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07) (Homebrew),local
832fc5da7962,,2025-11-19T18:18:25.933101Z,snapshot_get_neighbors/1000,median,ns,1.5966982784027448,1.5862707305151684,1.6075501250263333,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07) (Homebrew),local
832fc5da7962,,2025-11-19T18:18:25.933101Z,builder_finalize/10000,mean,ns,815367.1515923275,803026.7164437041,829278.1422314603,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07) (Homebrew),local
832fc5da7962,,2025-11-19T18:18:25.933101Z,builder_finalize/10000,median,ns,790265.0527419355,786195.5,795541.6702127659,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07) (Homebrew),local
832fc5da7962,,2025-11-19T18:18:25.933101Z,builder_finalize/100000,mean,ns,8036532.849999999,8012158.145714289,8061228.755499999,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07) (Homebrew),local
832fc5da7962,,2025-11-19T18:18:25.933101Z,builder_finalize/100000,median,ns,8029351.142857143,7997458.285714285,8053327.428571428,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07) (Homebrew),local
832fc5da7962,,2025-11-19T18:18:25.933101Z,builder_finalize/100,mean,ns,9423.772019380813,9399.578612933814,9447.975348377786,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07) (Homebrew),local
832fc5da7962,,2025-11-19T18:18:25.933101Z,builder_finalize/100,median,ns,9415.430246123738,9387.052884615385,9442.0511019879,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07) (Homebrew),local
832fc5da7962,,2025-11-19T18:18:25.933101Z,builder_finalize/1000,mean,ns,77425.69409356662,77240.48024613324,77616.67327041876,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07) (Homebrew),local
832fc5da7962,,2025-11-19T18:18:25.933101Z,builder_finalize/1000,median,ns,77412.45251661917,77161.99198717948,77590.1221719457,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07) (Homebrew),local
832fc5da7962,,2025-11-19T18:18:25.933101Z,builder_add_nodes/10000,mean,ns,294025.9618949669,292100.14916119544,296803.99123143184,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07) (Homebrew),local
832fc5da7962,,2025-11-19T18:18:25.933101Z,builder_add_nodes/10000,median,ns,292215.20659722225,291479.8314873418,293389.5089285714,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07) (Homebrew),local
832fc5da7962,,2025-11-19T18:18:25.933101Z,builder_add_nodes/100000,mean,ns,3269813.36,3228094.696078125,3315658.274625,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07) (Homebrew),local
832fc5da7962,,2025-11-19T18:18:25.933101Z,builder_add_nodes/100000,median,ns,3198598.96875,3169403.625,3234986.96875,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07) (Homebrew),local
832fc5da7962,,2025-11-19T18:18:25.933101Z,builder_add_nodes/100,mean,ns,3207.449708201372,3141.7664136240037,3297.2194140194483,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07) (Homebrew),local
832fc5da7962,,2025-11-19T18:18:25.933101Z,builder_add_nodes/100,median,ns,3125.9684612405244,3121.3076923076924,3129.383068275039,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07) (Homebrew),local
832fc5da7962,,2025-11-19T18:18:25.933101Z,builder_add_nodes/1000,mean,ns,28264.103260420947,27771.558876066938,28920.040350395626,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07) (Homebrew),local
832fc5da7962,,2025-11-19T18:18:25.933101Z,builder_add_nodes/1000,median,ns,27575.859494063443,27547.831632653062,27628.402777777777,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07) (Homebrew),local
832fc5da7962,,2025-11-19T18:18:25.933101Z,builder_add_properties/10000,mean,ns,1778183.5734300232,1761111.818692528,1801832.572857679,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07) (Homebrew),local
832fc5da7962,,2025-11-19T18:18:25.933101Z,builder_add_properties/10000,median,ns,1759071.9666666668,1754197.6869114877,1762837.1942311912,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07) (Homebrew),local
832fc5da7962,,2025-11-19T18:18:25.933101Z,builder_add_properties/100,mean,ns,16290.27960947165,15960.334419280294,16670.776651489774,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07) (Homebrew),local
832fc5da7962,,2025-11-19T18:18:25.933101Z,builder_add_properties/100,median,ns,15470.494430580557,15419.510024115465,15796.42857142857,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07) (Homebrew),local
832fc5da7962,,2025-11-19T18:18:25.933101Z,builder_add_properties/1000,mean,ns,159789.8452919728,159492.63651984432,160100.77136367213,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07) (Homebrew),local
832fc5da7962,,2025-11-19T18:18:25.933101Z,builder_add_properties/1000,median,ns,159707.50073653198,159449.5388888889,159839.6192982456,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07) (Homebrew),local
832fc5da7962,,2025-11-19T18:18:25.933101Z,snapshot_get_nodes_with_property/10000,mean,ns,85.83154493821102,82.72439618317645,89.29872921521012,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07) (Homebrew),local
832fc5da7962,,2025-11-19T18:18:25.933101Z,snapshot_get_nodes_with_property/10000,median,ns,81.2144219501602,78.37937641002948,82.44966155558883,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07) (Homebrew),local
832fc5da7962,,2025-11-19T18:18:25.933101Z,snapshot_get_nodes_with_property/100,mean,ns,209.39217180221186,180.73192756512242,241.4749576507416,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07) (Homebrew),local
832fc5da7962,,2025-11-19T18:18:25.933101Z,snapshot_get_nodes_with_property/100,median,ns,154.0347291227227,145.59944139881242,161.70011182108627,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07) (Homebrew),local
